id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,acct_open_date,card_on_dark_web,credit_limit_int,year_pin_last_changed,expires
5923,1660,Discover,Credit,6726060094896113,105,NO,1,12/2008,No,4700,2014-01-01,2009-01-01
4223,1660,Visa,Credit,4157109762296149,433,YES,2,08/2007,No,5800,2011-01-01,2021-06-01
4455,1660,Mastercard,Debit,5231462717450524,754,YES,2,08/2016,No,12082,2016-01-01,2024-03-01
3234,1660,Mastercard,Credit,5074836567307562,741,NO,2,06/2002,No,6000,2010-01-01,2023-03-01
1005,1660,Visa,Debit,4986369179342271,367,YES,1,02/2002,No,620,2014-01-01,2009-11-01
151,1747,Mastercard,Debit,5892013969159900,879,YES,1,01/2008,No,14499,2008-01-01,2022-08-01
4198,1747,Mastercard,Debit,5179157151686144,457,YES,2,08/2007,No,12332,2009-01-01,2023-07-01
4403,1747,Mastercard,Debit,5569640141329524,904,YES,1,08/2013,No,18424,2013-01-01,2024-09-01
4120,1747,Visa,Credit,4708914311449293,149,NO,1,08/2003,No,15400,2008-01-01,2023-07-01
4224,1747,Visa,Debit,4795724941278913,136,YES,2,08/2007,No,14548,2013-01-01,2022-02-01
4895,1747,Mastercard,Credit,5300159511214994,740,YES,2,09/2016,No,10100,2016-01-01,2016-12-01
1028,153,Discover,Credit,6580244636542196,416,YES,1,02/2004,No,11200,2008-01-01,2011-04-01
5956,153,Mastercard,Debit,5032457975030967,240,YES,2,12/2009,No,20291,2011-01-01,2024-10-01
107,153,Visa,Debit,4382324870900908,852,YES,1,01/2006,No,32092,2010-01-01,2018-08-01
440,153,Mastercard,Debit,5456808094753905,217,YES,1,01/2020,No,20463,2020-01-01,2020-02-01
746,429,Visa,Debit,4465362453388909,738,YES,1,01/2020,No,15802,2020-01-01,2022-08-01
1769,429,Visa,Debit,4668447208616693,314,NO,2,02/2020,No,4612,2020-01-01,2020-02-01
421,429,Discover,Credit,6377595394803324,675,YES,2,01/2020,No,19900,2020-01-01,2020-07-01
974,511,Mastercard,"Debit (Prepaid)",5117090980312402,42,YES,1,02/2000,No,73,2012-01-01,2020-10-01
4707,511,Mastercard,Debit,5377858405611171,24,YES,1,09/2009,No,11858,2010-01-01,2024-01-01
7,511,Mastercard,Debit,5585238056278288,749,YES,1,01/1998,No,9664,2011-01-01,2005-03-01
2212,511,Mastercard,Debit,5355281784290567,810,YES,1,03/2009,No,8367,2009-01-01,2020-06-01
1038,511,Visa,Credit,4150093118072730,135,YES,2,02/2004,No,6100,2009-01-01,2022-06-01
1460,309,Mastercard,Debit,5979295728871785,630,YES,3,02/2020,No,9944,2020-01-01,2020-02-01
747,309,Visa,Credit,4473643731469839,771,YES,1,01/2020,No,7900,2020-01-01,2020-01-01
1770,309,Visa,Credit,4800116569994473,201,YES,1,02/2020,No,5600,2020-01-01,2020-12-01
748,777,Visa,Debit,4832328468851061,580,YES,1,01/2020,No,68400,2020-01-01,2023-08-01
441,777,Mastercard,Debit,5278075482033392,437,YES,2,01/2020,No,77237,2020-01-01,2023-04-01
3679,1946,Visa,Debit,4869845530765333,701,YES,2,07/2002,No,4488,2015-01-01,2024-08-01
5701,1946,Visa,Credit,4231526239204033,499,YES,2,11/2014,No,12500,2014-01-01,2020-02-01
4510,1674,Mastercard,Debit,5813611925507601,734,YES,2,09/2001,No,23432,2008-01-01,2020-12-01
2873,1674,Amex,Credit,366520954874839,447,YES,2,05/2005,No,8800,2011-01-01,2022-05-01
1461,482,Mastercard,Credit,5392697458480962,886,YES,2,02/2020,No,12100,2020-01-01,2020-02-01
442,877,Mastercard,Debit,5048151330736425,931,YES,1,01/2020,No,9708,2020-01-01,2020-02-01
3877,877,Amex,Credit,371643368691556,683,YES,2,07/2009,No,12000,2011-01-01,2021-11-01
2296,877,Mastercard,Debit,5700734711260263,230,YES,1,03/2012,No,11973,2012-01-01,2023-11-01
5048,128,Mastercard,Debit,5389442391430673,658,YES,2,10/2006,No,13601,2014-01-01,2022-02-01
1462,128,Mastercard,Credit,5079116875907423,849,YES,2,02/2020,No,7800,2020-01-01,2024-01-01
4269,775,Visa,Debit,4390425683290569,790,YES,2,08/2008,No,17816,2016-01-01,2023-10-01
5188,1536,Mastercard,Debit,5217568630125704,625,NO,2,10/2010,No,17707,2010-01-01,2021-03-01
2874,1536,Amex,Credit,397856635669220,2,YES,1,05/2005,No,9500,2009-01-01,2020-11-01
3041,140,Mastercard,Debit,5529182104663869,182,YES,1,05/2010,No,19110,2011-01-01,2022-01-01
5312,140,Mastercard,Debit,5489017664251289,196,YES,1,10/2016,No,13428,2016-01-01,2023-08-01
4150,140,Mastercard,Debit,5793675314684781,43,YES,1,08/2005,No,24608,2009-01-01,2022-06-01
152,140,Mastercard,Debit,5845373196638993,111,YES,1,01/2008,No,13441,2011-01-01,2022-09-01
443,1884,Mastercard,"Debit (Prepaid)",5750288075891808,788,YES,2,01/2020,No,74,2020-01-01,2020-02-01
3377,1874,Mastercard,Debit,5429789020188285,674,YES,1,06/2008,No,17872,2008-01-01,2012-10-01
5789,1874,Mastercard,Credit,5301114615829913,425,YES,1,12/2003,No,12900,2010-01-01,2022-09-01
2106,1874,Mastercard,Debit,5571104183564029,52,YES,2,03/2006,No,25264,2020-01-01,2024-05-01
2078,1874,Mastercard,Debit,5401948301255038,920,YES,2,03/2005,No,20634,2007-01-01,2022-12-01
5866,1310,Visa,Credit,4295364044956974,656,YES,2,12/2006,No,12200,2010-01-01,2007-04-01
173,1310,Visa,Credit,4737484014371342,221,YES,2,01/2008,No,5500,2008-01-01,2010-02-01
1771,1689,Visa,Credit,4509365132510769,281,NO,2,02/2020,No,6600,2020-01-01,2020-03-01
6132,1689,Mastercard,Debit,5068255294282305,890,YES,1,12/2017,No,25815,2017-01-01,2020-11-01
327,379,Amex,Credit,354813103334804,527,YES,2,01/2014,No,8400,2014-01-01,2021-06-01
2019,379,Mastercard,Debit,5910929635230868,525,YES,1,03/2001,No,21628,2008-01-01,2020-02-01
3881,379,Mastercard,Debit,5400182448188961,412,YES,1,07/2009,No,24232,2009-01-01,2021-10-01
1166,34,Mastercard,Debit,5039048842448184,339,YES,2,02/2009,No,10775,2010-01-01,2023-11-01
3342,34,Mastercard,"Debit (Prepaid)",5672012369002302,598,YES,2,06/2007,No,105,2013-01-01,2020-02-01
5622,822,Visa,Credit,4336733185475861,221,NO,2,11/2010,No,7100,2010-01-01,2021-01-01
5424,822,Mastercard,Debit,5985582173054292,951,YES,1,11/2005,No,29351,2007-01-01,2024-07-01
2558,822,Mastercard,Debit,5281056728185174,835,YES,2,04/2008,No,15125,2012-01-01,2020-03-01
5385,822,Mastercard,Credit,5615660494634705,865,YES,2,11/2003,No,8000,2008-01-01,2021-11-01
5596,822,Mastercard,"Debit (Prepaid)",5314878099448745,994,YES,1,11/2010,No,83,2010-01-01,2011-05-01
3991,1499,Amex,Credit,311095486859536,536,YES,2,07/2012,No,23700,2012-01-01,2024-01-01
6126,1780,Visa,Credit,4624747592911129,986,YES,2,12/2016,No,700,2016-01-01,2024-02-01
3756,1806,Mastercard,Debit,5595562388674401,594,YES,2,07/2006,No,7488,2016-01-01,2024-07-01
971,811,Visa,Credit,4171022488649333,225,NO,1,02/1999,No,24900,2010-01-01,2002-01-01
2079,811,Mastercard,Debit,5246337038556761,638,YES,2,03/2005,No,30971,2020-01-01,2021-06-01
387,811,Amex,Credit,399966116933253,343,YES,1,01/2020,No,24400,2020-01-01,2024-01-01
444,811,Mastercard,Debit,5064137987234665,599,YES,2,01/2020,No,53549,2020-01-01,2020-02-01
5277,811,Visa,Debit,4905540969337037,573,YES,1,10/2013,No,53036,2013-01-01,2018-09-01
4358,811,Mastercard,Debit,5703849820939467,300,YES,1,08/2011,No,35750,2011-01-01,2024-12-01
2318,811,Visa,Debit,4055403312631050,902,YES,1,03/2013,No,33375,2013-01-01,2021-07-01
6019,1844,Visa,"Debit (Prepaid)",4587476056357151,858,YES,2,12/2010,No,22,2010-01-01,2023-07-01
4421,1844,Discover,Credit,6521426249819196,608,YES,1,08/2014,No,13100,2014-01-01,2020-11-01
3702,1844,Visa,Debit,4199712815274632,440,YES,1,07/2003,No,16516,2011-01-01,2024-10-01
2854,1844,Mastercard,Credit,5172743861765175,906,YES,1,05/2004,No,15700,2011-01-01,2016-07-01
4114,1844,Mastercard,Debit,5214643602729093,474,YES,1,08/2003,No,21058,2007-01-01,2024-05-01
28,1852,Visa,Debit,4013876625955765,543,YES,2,01/2002,No,36425,2004-01-01,2023-10-01
6127,1852,Visa,"Debit (Prepaid)",4966050979388902,585,YES,2,12/2016,No,91,2016-01-01,2021-03-01
2477,1852,Mastercard,Credit,5247576622089394,379,YES,1,04/2005,No,13400,2014-01-01,2021-09-01
2632,1852,Mastercard,Credit,5911319900289832,37,YES,2,04/2010,No,21600,2010-01-01,2021-04-01
1463,1231,Mastercard,Debit,5058769177189803,12,NO,1,02/2020,No,9090,2020-01-01,2020-02-01
5679,970,Visa,Debit,4682877628388639,846,NO,1,11/2012,No,25942,2012-01-01,2023-02-01
1012,970,Mastercard,Credit,5882842508952744,614,YES,2,02/2003,No,10700,2013-01-01,2019-07-01
1464,970,Mastercard,Credit,5637149260486793,630,YES,2,02/2020,No,4900,2020-01-01,2022-07-01
1465,381,Mastercard,Credit,5115700923413241,587,NO,1,02/2020,No,18100,2020-01-01,2022-04-01
388,1134,Amex,Credit,324640473359364,659,YES,2,01/2020,No,7200,2020-01-01,2024-03-01
3708,1296,Mastercard,Debit,5033428838471726,546,YES,2,07/2004,No,22660,2007-01-01,2020-02-01
3087,1296,Discover,Credit,6969946254132652,588,YES,1,05/2011,No,19800,2011-01-01,2022-12-01
67,1296,Mastercard,Credit,5181226307106931,820,YES,2,01/2005,No,15500,2014-01-01,2024-11-01
80,1296,Visa,"Debit (Prepaid)",4310689470082080,458,YES,1,01/2005,No,13,2008-01-01,2023-06-01
3665,1296,Mastercard,Debit,5051066154001741,526,YES,2,07/2001,No,4317,2011-01-01,2021-06-01
2014,1880,Mastercard,Debit,5456915066505066,553,NO,1,03/2000,No,14719,2008-01-01,2021-12-01
4906,1880,Mastercard,Debit,5132664334960880,593,YES,1,09/2017,No,9532,2017-01-01,2021-05-01
3757,1880,Mastercard,Credit,5752873844240568,486,YES,1,07/2006,No,10900,2014-01-01,2020-03-01
5365,322,Mastercard,Credit,5494228198326752,428,YES,2,11/2001,No,6200,2012-01-01,2024-09-01
5425,322,Mastercard,Debit,5789639625525459,43,YES,2,11/2005,No,2903,2011-01-01,2012-12-01
5758,322,Mastercard,Debit,5392957769023387,803,YES,2,12/1999,No,4355,2010-01-01,2020-10-01
5482,461,Mastercard,Debit,5182820825620434,126,YES,1,11/2007,No,28963,2012-01-01,2021-04-01
3172,461,Mastercard,Debit,5102353988152905,667,YES,2,05/2016,No,20913,2016-01-01,2022-12-01
1209,461,Mastercard,Debit,5033135709911480,170,YES,1,02/2010,No,23344,2010-01-01,2024-07-01
5313,461,Mastercard,Debit,5611522756791997,882,YES,2,10/2016,No,33642,2016-01-01,2020-01-01
4762,1165,Mastercard,Debit,5037404409791945,681,YES,1,09/2010,No,14695,2011-01-01,2022-01-01
126,1448,Mastercard,Credit,5571363047071896,510,YES,1,01/2007,No,13200,2015-01-01,2023-09-01
4685,1448,Visa,Debit,4083033843851772,173,YES,1,09/2008,No,29950,2013-01-01,2020-01-01
5907,1448,Visa,Credit,4829916759482899,768,YES,2,12/2007,No,4600,2011-01-01,2024-07-01
2428,1288,Mastercard,Debit,5458492483408549,92,YES,1,04/2002,No,10051,2011-01-01,2022-12-01
1013,1288,Mastercard,Debit,5879094230635425,729,YES,2,02/2003,No,9796,2013-01-01,2015-12-01
5145,1178,Mastercard,Debit,5769435406360328,957,YES,1,10/2009,No,17826,2009-01-01,2021-10-01
5854,1178,Mastercard,Debit,5588799529406913,778,YES,1,12/2006,No,19086,2009-01-01,2024-11-01
5296,1178,Visa,Debit,4410685608952637,265,YES,2,10/2014,No,17345,2014-01-01,2024-06-01
1327,1178,Visa,Debit,4470822684089911,923,YES,2,02/2013,No,17976,2013-01-01,2020-09-01
383,1178,Visa,Debit,4804338444306727,279,YES,2,01/2019,No,16447,2019-01-01,2022-01-01
5129,1391,Visa,Debit,4194362281636453,271,YES,2,10/2008,No,29573,2009-01-01,2024-10-01
5995,1391,Mastercard,"Debit (Prepaid)",5436469451844829,48,YES,2,12/2010,No,98,2010-01-01,2021-12-01
4107,1391,Mastercard,Debit,5648865641388293,71,YES,2,08/2002,No,2559,2012-01-01,2019-08-01
36,1391,Mastercard,Debit,5914243757284149,436,YES,2,01/2003,No,6552,2010-01-01,2012-10-01
445,838,Mastercard,Credit,5193780952753626,591,YES,2,01/2020,No,13800,2020-01-01,2021-01-01
1466,54,Mastercard,Debit,5957925302951752,746,YES,1,02/2020,No,16375,2020-01-01,2020-08-01
749,54,Visa,Debit,4557061225558443,780,YES,1,01/2020,No,14213,2020-01-01,2023-05-01
1772,54,Visa,"Debit (Prepaid)",4883222888293069,2,YES,1,02/2020,No,73,2020-01-01,2020-09-01
3801,1452,Mastercard,Debit,5476407228285230,688,YES,2,07/2007,No,53466,2013-01-01,2022-11-01
282,1602,Visa,Credit,4698943729070491,450,YES,1,01/2011,No,6600,2013-01-01,2020-09-01
6105,1602,Mastercard,Credit,5579147219556308,806,NO,2,12/2015,No,7200,2015-01-01,2022-06-01
446,1938,Mastercard,Debit,5099614207935768,856,YES,1,01/2020,No,2868,2020-01-01,2020-11-01
422,1938,Discover,Credit,6177503172021506,97,YES,1,01/2020,No,3400,2020-01-01,2024-05-01
5231,1492,Mastercard,Debit,5188130978534931,446,YES,1,10/2011,No,12915,2013-01-01,2022-01-01
2615,1492,Visa,"Debit (Prepaid)",4860320285002452,366,YES,2,04/2009,No,84,2017-01-01,2023-12-01
2776,1492,Discover,Credit,6417599205270844,504,YES,2,04/2018,No,17600,2018-01-01,2021-07-01
5452,1492,Mastercard,Debit,5516722949603675,621,YES,1,11/2006,No,31542,2009-01-01,2012-12-01
3563,1492,Mastercard,Debit,5891053637541514,362,YES,2,06/2013,No,23049,2013-01-01,2022-02-01
6134,1492,Visa,Debit,4222570131769035,141,YES,1,12/2017,No,29734,2017-01-01,2020-05-01
4818,1492,Visa,Credit,4453742478192143,346,YES,2,09/2011,No,27000,2016-01-01,2020-01-01
2171,1492,Mastercard,"Debit (Prepaid)",5335984658439104,320,YES,1,03/2008,No,18,2010-01-01,2022-11-01
6106,688,Mastercard,Debit,5708150083756692,824,YES,1,12/2015,No,17848,2015-01-01,2023-04-01
3042,688,Mastercard,Debit,5238684130320063,870,NO,1,05/2010,No,25563,2010-01-01,2022-11-01
5209,688,Visa,Credit,4740880792169372,168,YES,2,10/2010,No,12000,2010-01-01,2020-04-01
1296,688,Amex,Credit,361648729239104,709,NO,2,02/2012,No,6600,2012-01-01,2018-11-01
389,749,Amex,Credit,363305614201313,943,NO,1,01/2020,No,5600,2020-01-01,2023-09-01
1773,749,Visa,Debit,4360859456629853,428,YES,3,02/2020,No,11873,2020-01-01,2022-11-01
1467,749,Mastercard,Credit,5498016831726771,871,YES,1,02/2020,No,7200,2020-01-01,2020-02-01
1395,643,Amex,Credit,381572912003735,145,YES,1,02/2020,No,10000,2020-01-01,2024-08-01
5597,643,Mastercard,Credit,5079302523329059,381,YES,2,11/2010,No,500,2010-01-01,2023-04-01
1468,1219,Mastercard,Debit,5546998350637125,718,YES,1,02/2020,No,22697,2020-01-01,2020-02-01
2309,1219,Mastercard,Credit,5326031764905960,437,YES,1,03/2013,No,18000,2013-01-01,2023-08-01
3466,1219,Mastercard,Debit,5096150037217374,862,YES,1,06/2010,No,32903,2010-01-01,2024-10-01
2804,1198,Visa,Debit,4489873116412364,547,YES,2,05/1999,No,12764,2010-01-01,2021-08-01
1388,1198,Mastercard,Credit,5621725368325863,60,YES,1,02/2019,No,6300,2019-01-01,2022-10-01
4660,898,Mastercard,Debit,5923138803280580,934,YES,2,09/2008,No,7541,2013-01-01,2022-02-01
3356,898,Visa,Debit,4447989421793048,995,YES,2,06/2007,No,1266,2012-01-01,2022-03-01
4870,898,Mastercard,Credit,5000307662634780,263,NO,1,09/2014,No,9500,2014-01-01,2020-04-01
3467,882,Mastercard,Debit,5707305515533516,203,YES,2,06/2010,No,1837,2010-01-01,2020-04-01
1079,882,Mastercard,Debit,5864987017850552,258,YES,2,02/2006,No,17453,2008-01-01,2023-08-01
2977,348,Visa,Debit,4228885239928189,543,NO,1,05/2008,No,28283,2012-01-01,2013-10-01
3073,348,Visa,Credit,4210237285941913,160,YES,1,05/2010,No,13500,2012-01-01,2020-04-01
3554,348,Visa,Credit,4877073763902898,786,YES,2,06/2012,No,13300,2012-01-01,2014-07-01
2597,633,Mastercard,Debit,5558040779986506,69,YES,2,04/2009,No,17941,2009-01-01,2021-09-01
3489,1493,Visa,Credit,4642496218651973,594,YES,1,06/2010,No,14400,2012-01-01,2018-04-01
4003,1493,Visa,Credit,4244401907291512,120,YES,1,07/2012,No,4400,2012-01-01,2020-04-01
1469,1493,Mastercard,Credit,5157439545898691,657,YES,1,02/2020,No,13000,2020-01-01,2020-03-01
1774,1493,Visa,Debit,4079516725179269,72,YES,2,02/2020,No,22701,2020-01-01,2023-04-01
1470,1161,Mastercard,Credit,5597117503471640,934,NO,1,02/2020,No,16100,2020-01-01,2024-08-01
1471,1161,Mastercard,Debit,5808372218918202,138,YES,2,02/2020,No,7629,2020-01-01,2023-09-01
2691,217,Mastercard,Debit,5565497732362129,430,NO,1,04/2012,No,16538,2012-01-01,2022-03-01
174,217,Visa,Debit,4072893581482208,578,YES,2,01/2008,No,22746,2010-01-01,2020-12-01
1364,217,Mastercard,Debit,5161929618424764,743,YES,1,02/2016,No,9737,2016-01-01,2016-07-01
1266,217,Mastercard,Credit,5359358098670039,428,YES,1,02/2011,No,6500,2014-01-01,2019-07-01
1267,217,Mastercard,Debit,5093514487076217,889,YES,2,02/2011,No,2650,2013-01-01,2020-06-01
207,217,Visa,Credit,4409790595650716,839,YES,2,01/2009,No,8200,2011-01-01,2012-05-01
5448,217,Amex,Credit,373325875666765,204,YES,2,11/2006,No,6200,2013-01-01,2022-01-01
5449,1877,Amex,Credit,366837170672753,803,YES,2,11/2006,No,22600,2014-01-01,2021-01-01
2107,1877,Mastercard,Debit,5260255791659846,428,YES,2,03/2006,No,6940,2009-01-01,2024-05-01
2398,1877,Mastercard,Debit,5911939393457828,410,YES,2,04/1996,No,23408,2008-01-01,2024-03-01
5414,1877,Visa,Credit,4226284680001632,966,YES,2,11/2004,No,9700,2007-01-01,2022-09-01
3758,668,Mastercard,Debit,5624997997810589,992,NO,2,07/2006,No,10538,2006-01-01,2024-06-01
4097,668,Mastercard,Debit,5752209560237460,385,YES,2,08/2001,No,6853,2006-01-01,2023-03-01
5778,668,Mastercard,Debit,5470018669871087,598,YES,2,12/2002,No,607,2010-01-01,2020-10-01
4318,668,Mastercard,Credit,5764603958082866,397,YES,1,08/2010,No,0,2010-01-01,2021-08-01
5015,668,Visa,Debit,4378354586828464,644,YES,2,10/2004,No,8253,2011-01-01,2021-06-01
750,533,Visa,Debit,4415203972868492,847,YES,2,01/2020,No,8492,2020-01-01,2020-09-01
242,203,Visa,Credit,4716309780327853,275,YES,1,01/2010,No,9100,2010-01-01,2022-07-01
3966,203,Mastercard,Credit,5175414290540891,497,NO,2,07/2011,No,2600,2011-01-01,2022-04-01
5375,203,Mastercard,Credit,5079431552272493,813,NO,1,11/2002,No,7300,2010-01-01,2024-05-01
5166,1738,Visa,Credit,4841586209388617,207,YES,1,10/2009,No,15000,2009-01-01,2020-08-01
1472,1738,Mastercard,Credit,5133341979041600,497,YES,2,02/2020,No,18700,2020-01-01,2024-04-01
751,1738,Visa,Debit,4044685132149960,579,YES,1,01/2020,No,21458,2020-01-01,2021-05-01
5623,1738,Visa,Credit,4825181289428263,635,NO,1,11/2010,No,15700,2014-01-01,2020-04-01
6099,713,Mastercard,Debit,5533057740649374,13,YES,2,12/2014,No,20765,2014-01-01,2020-01-01
1473,713,Mastercard,Debit,5137811039972629,170,NO,2,02/2020,No,18101,2020-01-01,2022-06-01
1775,713,Visa,Credit,4409545480052957,528,YES,1,02/2020,No,8400,2020-01-01,2024-11-01
447,713,Mastercard,Debit,5169705466479218,66,YES,1,01/2020,No,1737,2020-01-01,2020-03-01
1474,1631,Mastercard,Credit,5782138554730431,217,YES,2,02/2020,No,20900,2020-01-01,2020-02-01
1776,1631,Visa,Credit,4450097042295695,601,YES,1,02/2020,No,23700,2020-01-01,2021-11-01
448,1631,Mastercard,Credit,5298079382002761,989,YES,1,01/2020,No,17500,2020-01-01,2021-11-01
5978,1487,Visa,Debit,4911894810892317,769,YES,1,12/2009,No,26083,2009-01-01,2024-06-01
2978,1487,Visa,Debit,4394014058373538,943,YES,1,05/2008,No,31589,2008-01-01,2022-10-01
4946,1487,Visa,Credit,4984110253172329,453,YES,2,10/2000,No,24200,2013-01-01,2021-06-01
1475,1265,Mastercard,Debit,5658875071888530,190,YES,2,02/2020,No,18321,2020-01-01,2020-02-01
5376,370,Mastercard,Debit,5377126168537132,94,YES,2,11/2002,No,7551,2010-01-01,2022-10-01
4127,370,Mastercard,Debit,5606824501502078,451,YES,1,08/2004,No,15377,2011-01-01,2014-06-01
5093,370,Visa,Debit,4501704511432206,324,YES,1,10/2007,No,12990,2016-01-01,2023-03-01
3490,370,Visa,Debit,4015096339812707,494,YES,1,06/2010,No,8509,2010-01-01,2023-02-01
5702,1014,Visa,Debit,4467199760802877,176,YES,1,11/2014,No,96907,2014-01-01,2014-11-01
2200,1014,Visa,Credit,4081474027835147,45,YES,1,03/2008,No,43900,2013-01-01,2015-07-01
5436,1014,Visa,"Debit (Prepaid)",4868297041449163,440,YES,2,11/2005,No,76,2007-01-01,2020-10-01
449,290,Mastercard,Debit,5843714671989158,533,YES,2,01/2020,No,50915,2020-01-01,2020-01-01
1777,290,Visa,Debit,4052306795072868,369,YES,2,02/2020,No,31767,2020-01-01,2021-12-01
3862,985,Visa,Credit,4229889369220690,82,YES,2,07/2008,No,13200,2010-01-01,2024-04-01
1268,985,Mastercard,Credit,5936949471946678,372,YES,2,02/2011,No,16000,2012-01-01,2022-10-01
752,985,Visa,Debit,4748458102584203,223,YES,2,01/2020,No,18132,2020-01-01,2024-07-01
2704,985,Visa,Credit,4862788591864799,466,YES,1,04/2012,No,300,2012-01-01,2019-02-01
2808,135,Mastercard,Debit,5736838327060448,714,YES,2,05/2000,No,2236,2015-01-01,2022-11-01
4791,135,Visa,Debit,4528854599819268,451,YES,2,09/2010,No,21591,2010-01-01,2019-08-01
1476,307,Mastercard,Debit,5956798767354537,927,YES,2,02/2020,No,11521,2020-01-01,2020-04-01
753,307,Visa,Credit,4949830998579625,561,NO,1,01/2020,No,8600,2020-01-01,2020-06-01
4112,1783,Amex,Credit,323782494048404,659,YES,1,08/2003,No,9800,2010-01-01,2020-03-01
1154,1783,Visa,Credit,4172882144788973,902,YES,2,02/2008,No,11300,2009-01-01,2012-03-01
2598,1783,Mastercard,Credit,5153494647482349,492,YES,1,04/2009,No,8400,2011-01-01,2019-10-01
